x,Throttle Profile [km/h]0,fw Speed [mm/s]1,bw Speed [mm/s]2,fw Speed [km/h]3,bw Speed [km/h]4,Speed Table [0-255]5
97,49,581.5456543,594.8513794,47.105198,48.18296173,undefined
98,49.5,568.3498535,607.1452026,46.03633813,49.17876141,undefined
99,50,572.0483398,618.0682983,46.33591552,50.06353216,undefined
100,50,567.4278564,600.9395142,45.96165637,48.67610065,undefined
101,50,572.5391235,609.5577393,46.375669,49.37417688,undefined
102,50,573.2801514,605.3198242,46.43569226,49.03090576,undefined
103,50,578.2102051,611.0056152,46.83502661,49.49145483,undefined
104,50,582.1932983,610.3125,47.15765716,49.4353125,undefined
105,50,566.7062378,624.6038208,45.90320526,50.59290948,undefined
106,50,591.6776733,606.352356,47.92589154,49.11454084,undefined
107,50,568.4567261,619.9029541,46.04499481,50.21213928,undefined
108,50,570.1331177,600.2085571,46.18078253,48.61689313,undefined
109,50,584.9360352,602.4022217,47.37981885,48.79457996,undefined
110,50,570.5252075,612.0040894,46.21254181,49.57233124,undefined
111,50,572.6435547,596.5470581,46.38412793,48.32031171,undefined
112,50,563.2974854,620.414978,45.62709632,50.25361322,undefined
113,50,556.1600952,610.6664429,45.04896771,49.46398187,undefined
114,50,568.9476318,617.5588379,46.08475818,50.02226587,undefined
115,50,569.2059937,605.3457642,46.10568549,49.0330069,undefined
116,50,575.9202271,616.3734131,46.6495384,49.92624646,undefined
117,50,585.322876,617.1743774,47.41115296,49.99112457,undefined
118,50,561.9893188,612.493103,45.52113482,49.61194134,undefined
119,50,584.6699219,609.3042603,47.35826367,49.35364508,undefined
120,50,587.0507813,615.9379272,47.55111329,49.8909721,undefined
121,50,568.22052,612.3106079,46.02586212,49.59715924,undefined
122,50,562.9786377,611.4985962,45.60126965,49.53138629,undefined
123,50,584.8101196,611.980896,47.36961969,49.57045258,undefined
124,50,598.3213501,608.8980103,48.46402936,49.32073883,undefined
125,50,593.6932983,613.8935547,48.08915716,49.72537793,undefined
126,50,591.7022705,610.1213989,47.92788391,49.41983331,undefined
127,50,600.1295776,616.104248,48.61049579,49.90444409,undefined
